Reg. No.,Lab00,Lab01,Lab02,Lab03,Read01,Read02,Read03,Read04,Read05,Read06,Read07,Read08,Read09,Read10,Lab04,Lab05,Lab06,Lab07,Lab08,Lab09,Lab10,Lab11,Lab12,Qt,Proj1,Proj2,Mid
E/13/004,0.85,0.98,1.00,1.00,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.33,0.67,1.00,1.02,0.00,0.95,0.45,1.00,1.00,0.75,0.85,1.00,0.80,4.50,8.75,9.00
E/13/010,0.81,0.73,0.65,0.50,0.67,0.33,0.67,0.33,0.00,0.33,0.00,0.33,0.00,1.00,0.00,0.00,1.00,0.40,0.40,1.00,0.80,0.80,0.45,0.60,3.06,8.00,5.00
E/13/011,1.00,0.77,1.00,1.00,1.00,0.67,0.67,1.00,0.67,1.00,1.00,0.67,0.67,1.00,0.90,0.75,0.00,0.35,0.55,1.00,0.60,0.90,1.00,0.90,2.72,7.75,16.00
E/13/013,0.88,0.70,0.95,1.00,0.33,0.33,0.67,1.00,0.33,0.33,0.00,0.67,0.67,1.00,0.60,0.87,0.93,0.13,0.00,1.00,0.85,0.90,1.00,0.70,4.56,7.00,10.00
E/13/019,0.94,0.70,0.97,1.00,0.67,1.00,0.67,0.67,1.00,1.00,1.00,0.67,1.00,1.00,1.00,0.47,0.90,0.11,0.16,1.00,0.80,0.85,1.00,0.60,0.05,8.75,9.00
E/13/041,0.87,0.90,0.95,1.00,0.67,0.67,0.33,0.33,0.67,0.33,1.00,0.33,0.00,1.00,0.61,0.84,1.00,0.50,1.00,1.00,0.85,0.88,1.00,0.70,7.40,9.25,8.00
E/13/043,0.82,1.00,1.00,0.50,0.33,0.00,0.67,0.67,0.67,1.00,0.67,0.00,1.00,1.00,0.77,0.75,1.00,0.50,0.30,1.00,0.75,0.70,1.00,0.70,4.77,8.75,4.00
E/13/052,0.89,0.90,1.00,0.10,0.33,0.67,0.67,0.67,0.33,0.67,0.67,0.67,0.67,1.00,0.80,0.23,1.00,0.50,0.85,1.00,0.80,0.80,0.90,0.70,1.00,4.75,10.00
E/13/056,0.93,0.25,0.90,1.00,0.33,0.67,0.67,1.00,1.00,1.00,1.00,0.67,1.00,1.00,1.01,1.00,0.95,0.50,0.84,1.00,0.85,0.92,1.00,0.60,6.97,10.00,13.00
E/13/057,0.93,0.68,1.00,1.00,0.33,1.00,0.67,0.67,0.67,1.00,1.00,0.67,1.00,1.00,0.63,1.00,1.00,0.80,0.40,1.00,0.75,0.75,1.00,0.50,6.07,8.50,14.00
E/13/058,0.92,0.93,0.90,1.00,0.67,0.67,0.00,0.33,0.00,0.67,0.33,0.67,1.00,1.00,0.82,0.59,0.80,0.00,0.08,1.00,0.85,0.78,1.00,0.50,1.37,7.25,6.00
E/13/061,0.72,0.60,1.00,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.00,0.85,0.92,1.00,0.35,0.40,1.00,0.70,0.75,1.00,0.50,2.47,8.00,5.00
E/13/073,0.92,0.88,0.95,0.90,1.00,1.00,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.45,0.00,1.00,0.56,0.40,1.00,0.85,0.72,1.00,0.70,6.72,8.50,17.00
E/13/095,0.90,0.41,0.90,0.10,0.33,0.67,0.00,0.33,0.33,0.33,0.33,0.67,0.33,1.00,0.96,0.87,1.00,0.35,0.40,1.00,0.70,0.25,0.60,0.80,6.72,10.00,10.00
E/13/101,0.90,0.61,0.95,1.00,0.33,0.33,0.67,0.67,1.00,0.67,1.00,0.33,1.00,1.00,1.01,0.00,1.00,0.35,0.40,1.00,0.75,0.92,1.00,0.70,5.57,8.25,9.00
E/13/106,0.85,0.80,1.00,0.10,1.00,1.00,1.00,1.00,1.00,0.67,0.67,0.67,0.67,1.00,0.55,0.15,0.44,0.35,0.15,1.00,0.60,0.70,1.00,0.90,2.22,0.00,5.00
